Match_No,Player_Name,Role,Batting_Position,Batting_Start_Over,Out_Over,Balls_Played,Runs_Scored,Overs_Bowled,Runs_Given,Wickets_Taken
1,Virat Kohli,batsman,1,0.1,18.5,59.0,77.0,0.0,,
1,Faf du Plessis,batsman,2,0.1,1.2,7.0,3.0,0.0,,
1,Cameron Green,all-rounder,3,1.2,1.3,5.0,3.0,2.0,19.0,0.0
1,Rajat Patidar,batsman,4,1.3,3.4,18.0,18.0,0.0,,
1,Glenn Maxwell,all-rounder,5,3.4,4.3,5.0,3.0,3.0,29.0,2.0
1,Dinesh Karthik,batsman,6,4.3,8.5,17.0,25.0,0.0,,
1,Mahipal Lomror,batsman,7,8.5,17.5,17.0,23.0,0.0,,
1,Saurav Chauhan,batsman,8,17.5,18.4,6.0,9.0,0.0,,
1,Anuj Rawat,batsman,9,18.4,not-out,4.0,11.0,0.0,,
1,Mohammed Siraj,bowler,10,,,,,4.0,54.0,0.0
1,Yash Dayal,bowler,11,,,,,4.0,23.0,2.0
