Match_No,Player_Name,Role,Batting_Position,Batting_Start_Over,Out_Over,Balls_Played,Runs_Scored,Overs_Bowled,Runs_Given,Wickets_Taken
3,Virat Kohli,batsman,1,0.0,not-out,44.0,70.0,0.0,,
3,Will Jacks,all-rounder,2,0.0,not-out,41.0,100.0,0.0,,
3,Faf du Plessis,batsman,3,,,,,0.0,,
3,Rajat Patidar,batsman,4,,,,,0.0,,
3,Cameron Green,all-rounder,5,,,,,3.0,28.0,1.0
3,Dinesh Karthik,batsman,6,,,,,0.0,,
3,Swapnil Singh,all-rounder,7,,,,,4.0,28.0,2.0
3,Mohammed Siraj,bowler,8,,,,,4.0,30.0,0.0
3,Yash Dayal,bowler,9,,,,,4.0,21.0,2.0
3,Karn Sharma,bowler,10,,,,,4.0,33.0,1.0
3,Lockie Ferguson,bowler,11,,,,,1.0,13.0,0.0
